Study Name,Authors,Year,DOI/URL,Dataset,Study Description,Paradigm Type,Stimulus Type,Stimulus Description,Composer,Passage Name,Passage Length,Musical Features Analyzed,Task Description,Number of Participants,Demographics,Musical Training,EEG System Used,Channel Count,Findings,Sampling Rate,Recording Environment,Data Format,Preprocessing,License,EEG Analysis Techniques,Statistical Tests,Event Markers,Publication
NMED-T: A Tempo-Focused Dataset of Cortical and Behavioral Responses to Naturalistic Music,"Steven Losorelli, Duc T. Nguyen, Jacek P. Dmochowski, Blair Kaneshiro",2017,https://archives.ismir.net/ismir2017/paper/000198.pdf,https://purl.stanford.edu/jn859kj8079,"The NMED-T dataset provides open-access EEG, tapping, and behavioral response data from 20 participants listening to 10 tempo-varied, beat-driven songs, enabling reproducible research in neuroscience and cognitive MIR.",Naturalistic,Complete Musical Piece,"David Bowie – “The Last Thing You Should Do” (ASIN B018GS2A46, 150 BPM)",David Bowie,The Last Thing You Should Do,4:58 minutes,"Tempo, Beat entrainment, Spectral energy","Participants listened to 10 full-length songs during EEG, then tapped along to 35-second excerpts in a separate behavioral session",20,"Right-handed adults, ages 18–29, 6 female, normal hearing","Mixed Groups, Moderate Training (5-10 years)",Electrical Geodesics GES300 (EGI),"128 channels, 10–10 system, vertex reference",NA,1000 Hz,Sound-treated lab and quiet room,Digital EEG + tap timing + behavioral ratings,"Downsampling to 125 Hz, High-pass + notch + low-pass filtering, ICA, interpolation, average referencing",CC BY 4.0,"SS-EPs, PCA, Time-frequency analysis","Correlation analysis, Spectral power comparison","Audio-click sync, Tap timestamps from iPad",ISMIR 2017: 339–346
Neural Tracking of the Musical Beat is Enhanced by Low-Frequency Sounds,"Lenc, Keller, Varlet, Nozaradan",2018,https://doi.org/10.1073/pnas.1801421115,NA,This study used EEG and frequency tagging to examine how low vs. high tones influence neural tracking of rhythmic beats and meter.,Controlled,Synthetic Rhythms,"Pure tones (130 Hz or 1236.8 Hz) forming isochronous, unsyncopated, or syncopated rhythms, looped for 60 seconds",N/A,Isochronous Rhythm,60 seconds,"Neural entrainment, frequency tagging, beat and meter tracking",EEG-monitored passive listening with deviant duration detection; tapping task after EEG,14,"Mean age 28.4, 10 female",Moderate Training (5-10 years),Biosemi ActiveTwo,64,Low tones enhanced EEG activity at beat frequency; strongest effects seen in syncopated rhythm.,2048 Hz,Sound-attenuated lab,Digitized EEG,"Filtered, downsampled, artifact rejection, common average referencing",CC BY-NC-ND,"Frequency tagging, z-score standardization, cochlear model comparison","Repeated-measures ANOVA, t-tests, permutation tests","Rhythm onset, tone deviants",PNAS 115(32):8221–8226
Neural Tracking of the Musical Beat is Enhanced by Low-Frequency Sounds,"Lenc, Keller, Varlet, Nozaradan",2018,https://doi.org/10.1073/pnas.1801421115,NA,This study used EEG and frequency tagging to examine how low vs. high tones influence neural tracking of rhythmic beats and meter.,Controlled,Synthetic Rhythms,"Pure tones (130 Hz or 1236.8 Hz) forming isochronous, unsyncopated, or syncopated rhythms, looped for 60 seconds",N/A,Unsyncopated Rhythm,60 seconds,"Neural entrainment, frequency tagging, beat and meter tracking",EEG-monitored passive listening with deviant duration detection; tapping task after EEG,14,"Mean age 28.4, 10 female",Moderate Training (5-10 years),Biosemi ActiveTwo,64,Beat frequency enhancement with low tones; no meter effect.,2048 Hz,Sound-attenuated lab,Digitized EEG,"Filtered, downsampled, artifact rejection, common average referencing",CC BY-NC-ND,"Frequency tagging, z-score standardization, cochlear model comparison","Repeated-measures ANOVA, t-tests, permutation tests","Rhythm onset, tone deviants",PNAS 115(32):8221–8226
Neural Tracking of the Musical Beat is Enhanced by Low-Frequency Sounds,"Lenc, Keller, Varlet, Nozaradan",2018,https://doi.org/10.1073/pnas.1801421115,NA,This study used EEG and frequency tagging to examine how low vs. high tones influence neural tracking of rhythmic beats and meter.,Controlled,Synthetic Rhythms,"Pure tones (130 Hz or 1236.8 Hz) forming isochronous, unsyncopated, or syncopated rhythms, looped for 60 seconds",N/A,Syncopated Rhythm,60 seconds,"Neural entrainment, frequency tagging, beat and meter tracking",EEG-monitored passive listening with deviant duration detection; tapping task after EEG,14,"Mean age 28.4, 10 female",Moderate Training (5-10 years),Biosemi ActiveTwo,64,Low tones boosted EEG responses at both beat and meter frequencies for syncopated rhythms.,2048 Hz,Sound-attenuated lab,Digitized EEG,"Filtered, downsampled, artifact rejection, common average referencing",CC BY-NC-ND,"Frequency tagging, z-score standardization, cochlear model comparison","Repeated-measures ANOVA, t-tests, permutation tests","Rhythm onset, tone deviants",PNAS 115(32):8221–8226
NMED-RP Naturalistic Music EEG Dataset – Rhythm Pilot,"Appaji, Jay, Kaneshiro, Blair",2018,NA,https://purl.stanford.edu/rz763kn3821,Pilot study examined EEG and behavioral responses to brief rhythmic musical excerpts.,Naturalistic,Musical Excerpt,Excerpts of natural music and rhythmic patterns; multiple listens,Various,NA,30 seconds,"Rhythmic complexity, Beat perception, Enjoyment, Temporal attention","Participants listened to 16 different musical excerpts multiple times and rated enjoyment, rhythmic complexity, and ease of finding the beat after each trial",5,"Adults with normal hearing; individual sessions, mixed gender",Not Reported,Electrical Geodesics GES300 (EGI),"128 channels, 10–10 system + reference",ERP averaging performed; dataset supports future exploration of rhythmic complexity and enjoyment.,1000 Hz,Controlled EEG lab setting,Digital EEG traces and behavioral ratings in .mat format,"Not explicitly detailed; assumed filtering, epoching, downsampling based on NMED family standards",CC BY 3.0,"RCA, ERP averaging, Descriptive statistics",Not reported (pilot dataset),Trial-aligned EEG blocks with per-trial behavioral ratings,Stanford Digital Repository (2018): https://purl.stanford.edu/rz763kn3821
"Rhesus Monkeys (Macaca mulatta) Sense Isochrony in Rhythm, but Not the Beat: Additional Support for the Gradual Audiomotor Evolution Hypothesis","Henkjan Honing, Fleur Bouwer, Gámez José, Hugo Merchant",2018,https://doi.org/10.3389/fnins.2018.00475,NA,"This study used EEG to examine whether rhesus monkeys can detect isochrony and perceive beats in rhythmic sound sequences, testing their auditory timing abilities in support of the Gradual Audiomotor Evolution Hypothesis.",Controlled,Synthesized Music/Tone,Accented and unaccented percussive sounds in isochronous pattern,NA,NA,~9:45 minutes per block,"MMN, P3a, P1, N1, Isochrony sensitivity, Beat perception",Passive listening to rhythmic sequences with deviant detection,2,"Rhesus monkeys (Macaca mulatta), adult males",Not Applicable,"Grass EEG electrodes (Fz, Cz, Pz, F3, F4) with Tucker-Davis Technologies hardware","5 channels, 10–20 system","Monkeys exhibited larger mismatch negativity (MMN) in the isochronous condition, indicating sensitivity to isochrony. However, no interaction between metrical position and isochrony was observed—supporting the conclusion that while monkeys detect temporal regularity, they do not perceive beat structure.",498.25 Hz,Acoustically treated cage with loudspeakers 1.1m away,Digital EEG traces,"Artifact rejection, 5–75 Hz bandpass filter, no baseline correction","© 2018 Honing et al., Frontiers Media S.A.","ERP averaging (MMN, P3a, P1, N1)","ANOVA (with factors Isochrony, Position, and Type)",Time-locked to deviant onset in rhythmic streams,Frontiers in Neuroscience 12:475
"Rhesus Monkeys (Macaca mulatta) Sense Isochrony in Rhythm, but Not the Beat: Additional Support for the Gradual Audiomotor Evolution Hypothesis","Henkjan Honing, Fleur Bouwer, Gámez José, Hugo Merchant",2018,https://doi.org/10.3389/fnins.2018.00475,NA,"This study used EEG to examine whether rhesus monkeys can detect isochrony and perceive beats in rhythmic sound sequences, testing their auditory timing abilities in support of the Gradual Audiomotor Evolution Hypothesis.",Controlled,Synthesized Music/Tone,Accented and unaccented percussive sounds in jittered pattern,NA,NA,~9:45 minutes per block,"MMN, P3a, P1, N1, Isochrony sensitivity, Beat perception",Passive listening to rhythmic sequences with deviant detection,2,"Rhesus monkeys (Macaca mulatta), adult males",Not Applicable,"Grass EEG electrodes (Fz, Cz, Pz, F3, F4) with Tucker-Davis Technologies hardware","5 channels, 10–20 system","Monkeys still showed MMN responses to deviant stimuli but of lower amplitude compared to the isochronous condition. The absence of interaction with metrical structure confirms lack of beat perception, reinforcing the Gradual Audiomotor Evolution hypothesis that beat-based timing evolved gradually and is largely absent in monkeys.",498.25 Hz,Acoustically treated cage with loudspeakers 1.1m away,Digital EEG traces,"Artifact rejection, 5–75 Hz bandpass filter, no baseline correction","© 2018 Honing et al., Frontiers Media S.A.","ERP averaging (MMN, P3a, P1, N1)","ANOVA (with factors Isochrony, Position, and Type)",Time-locked to deviant onset in rhythmic streams,Frontiers in Neuroscience 12:475
NMED-H 2.0: Naturalistic Music EEG Dataset—Hindi,"Kaneshiro, Blair, Nguyen, Duc T., Dmochowski, Jacek P., Norcia, Anthony M., and Berger, Jonathan",2019,https://purl.stanford.edu/sd922db3535,https://purl.stanford.edu/sd922db3535,This study examined how intact and manipulated temporal structure of Hindi pop music affects inter-subject EEG correlation.,Naturalistic,Complete Musical Piece,Four Various Hindi pop songs – intact temporal structure,Various,NA,~4.5 minutes,"Temporal structure, Beat tracking, Inter-subject correlation","Each participant heard one of four songs under four temporal conditions (intact, shuffled, reversed, scrambled); listened twice per stimulus and rated Pleasantness, Musicality, Order, and Interest",12,"Adults with normal hearing; 50% female, right-handed",Not Reported,Electrical Geodesics GES300 (EGI),"128 channels, 10–10 system + reference",ISC and variance explained were highest for intact condition; behavioral ratings aligned with EEG responses.,"1000 Hz (raw), 125 Hz (clean)",Sound-treated EEG lab,"Digital EEG (raw, clean, RCA), behavioral ratings","Filtering, downsampling, artifact rejection, re-referencing, spatial filtering (RCA)",CC BY 4.0,"RCA, Inter-subject correlation, Time-domain analysis","ISC, Variance explained, Behavioral-EEG correlation",Trial-aligned per condition and stimulus,ISMIR 2019 Late-Breaking/Demo
NMED-H 2.0: Naturalistic Music EEG Dataset—Hindi,"Kaneshiro, Blair, Nguyen, Duc T., Dmochowski, Jacek P., Norcia, Anthony M., and Berger, Jonathan",2019,https://purl.stanford.edu/sd922db3535,https://purl.stanford.edu/sd922db3535,This study examined how intact and manipulated temporal structure of Hindi pop music affects inter-subject EEG correlation.,Naturalistic,Complete Musical Piece,Four Various Hindi pop songs  – measure-shuffled,Various,NA,~4.5 minutes,"Temporal disruption, Beat segmentation, Neural response variability","Each participant heard one of four songs under four temporal conditions (intact, shuffled, reversed, scrambled); listened twice per stimulus and rated Pleasantness, Musicality, Order, and Interest",12,"Adults with normal hearing; 50% female, right-handed",Not Reported,Electrical Geodesics GES300 (EGI),"128 channels, 10–10 system + reference","ISC and behavioral ratings decreased in measure-shuffled condition, reflecting disruption in temporal structure.","1000 Hz (raw), 125 Hz (clean)",Sound-treated EEG lab,"Digital EEG (raw, clean, RCA), behavioral ratings","Filtering, downsampling, artifact rejection, re-referencing, spatial filtering (RCA)",CC BY 4.0,"RCA, Inter-subject correlation, Time-domain analysis","ISC, Variance explained, Behavioral-EEG correlation",Trial-aligned per condition and stimulus,ISMIR 2019 Late-Breaking/Demo
NMED-H 2.0: Naturalistic Music EEG Dataset—Hindi,"Kaneshiro, Blair, Nguyen, Duc T., Dmochowski, Jacek P., Norcia, Anthony M., and Berger, Jonathan",2019,https://purl.stanford.edu/sd922db3535,https://purl.stanford.edu/sd922db3535,This study examined how intact and manipulated temporal structure of Hindi pop music affects inter-subject EEG correlation.,Naturalistic,Complete Musical Piece,Four Various Hindi pop songs – time-reversed,Various,NA,~4.5 minutes,"Temporal reversal, Backward structure, Neural dissimilarity","Each participant heard one of four songs under four temporal conditions (intact, shuffled, reversed, scrambled); listened twice per stimulus and rated Pleasantness, Musicality, Order, and Interest",12,"Adults with normal hearing; 50% female, right-handed",Not Reported,Electrical Geodesics GES300 (EGI),"128 channels, 10–10 system + reference",ISC and behavioral alignment lowest in reversed condition; backward temporal structure led to neural dissimilarity.,"1000 Hz (raw), 125 Hz (clean)",Sound-treated EEG lab,"Digital EEG (raw, clean, RCA), behavioral ratings","Filtering, downsampling, artifact rejection, re-referencing, spatial filtering (RCA)",CC BY 4.0,"RCA, Inter-subject correlation, Time-domain analysis","ISC, Variance explained, Behavioral-EEG correlation",Trial-aligned per condition and stimulus,ISMIR 2019 Late-Breaking/Demo
NMED-H 2.0: Naturalistic Music EEG Dataset—Hindi,"Kaneshiro, Blair, Nguyen, Duc T., Dmochowski, Jacek P., Norcia, Anthony M., and Berger, Jonathan",2019,https://purl.stanford.edu/sd922db3535,https://purl.stanford.edu/sd922db3535,This study examined how intact and manipulated temporal structure of Hindi pop music affects inter-subject EEG correlation.,Naturalistic,Complete Musical Piece,Four Various Hindi pop songs – phase-scrambled,Various,NA,~4.5 minutes,"Phase incoherence, Rhythm loss, Cortical noise sensitivity","Each participant heard one of four songs under four temporal conditions (intact, shuffled, reversed, scrambled); listened twice per stimulus and rated Pleasantness, Musicality, Order, and Interest",12,"Adults with normal hearing; 50% female, right-handed",Not Reported,Electrical Geodesics GES300 (EGI),"128 channels, 10–10 system + reference",Phase-scrambled condition yielded lowest ISC; loss of rhythm coherence disrupted EEG alignment.,"1000 Hz (raw), 125 Hz (clean)",Sound-treated EEG lab,"Digital EEG (raw, clean, RCA), behavioral ratings","Filtering, downsampling, artifact rejection, re-referencing, spatial filtering (RCA)",CC BY 4.0,"RCA, Inter-subject correlation, Time-domain analysis","ISC, Variance explained, Behavioral-EEG correlation",Trial-aligned per condition and stimulus,ISMIR 2019 Late-Breaking/Demo
MAD-EEG: an EEG dataset for decoding auditory attention to a target instrument in polyphonic music,"Giorgia Cantisani, Gabriel Trégoat, Slim Essid, Gaël Richard",2019,https://hal.telecom-paris.fr/hal-02291882v1,https://zenodo.org/records/4537751#.YS5MOI4zYuU,"This is an open-access EEG dataset designed to decode auditory attention to a target instrument within polyphonic music, using realistic stimuli and single-trial recordings from subjects instructed to selectively attend to specific instruments in duets and trios.",Controlled,Complete Musical Piece,"Pop music duets (Voice, Guitar, Bass, Drums)",Multiple commercial pop,NA,6 seconds (looped 4x),"Attention, Spectrogram correlation, Instrument tracking, Spatial rendering",Attend to one target instrument in 2-instrument pop mixes,8,"Adults, 7 male 1 female, ages 23–54, mostly right-handed",Minimal Training (<5 years),B-Alert X24 (Advanced Brain Monitoring),"20 channels, 10–20 system",Decoding succeeded in pop duets using simple linear model; performance linked to spatial cues and instrument familiarity. Significant correlation with attended pop instrument (r > unattended); EEG decoding accuracy >78% in duets.,256 Hz,"Audio-visual lab, stereo speaker setup at ±45°",Digital EEG traces + synchronized stimuli,"Visual inspection, ICA, 50 Hz notch, time-aligned audio triggers","© Speech, Music and Mind Workshop 2019","Stimulus reconstruction via linear regression, Spectrogram alignment","Pearson correlation, Wilcoxon signed-rank, Randomization test",Stimulus onset via serial port timestamp,"Speech, Music and Mind Workshop at Interspeech 2019"
MAD-EEG: an EEG dataset for decoding auditory attention to a target instrument in polyphonic music,"Giorgia Cantisani, Gabriel Trégoat, Slim Essid, Gaël Richard",2019,https://hal.telecom-paris.fr/hal-02291882v1,https://zenodo.org/records/4537751#.YS5MOI4zYuU,"This is an open-access EEG dataset designed to decode auditory attention to a target instrument within polyphonic music, using realistic stimuli and single-trial recordings from subjects instructed to selectively attend to specific instruments in duets and trios.",Controlled,Complete Musical Piece,"Pop music trios (Voice, Guitar, Bass, Drums)",Multiple commercial pop,NA,6 seconds (looped 4x),"Attention, Spectrogram correlation, Instrument tracking, Spatial rendering",Attend to one target instrument in 3-instrument pop mixes,8,"Adults, 7 male 1 female, ages 23–54, mostly right-handed",Minimal Training (<5 years),B-Alert X24 (Advanced Brain Monitoring),"20 channels, 10–20 system",Instrument identification from EEG more difficult with 3 overlapping sources; attention decoding remains above chance,256 Hz,"Audio-visual lab, stereo speaker setup at ±45°",Digital EEG traces + synchronized stimuli,"Visual inspection, ICA, 50 Hz notch, time-aligned audio triggers","© Speech, Music and Mind Workshop 2019","Stimulus reconstruction via linear regression, Spectrogram alignment","Pearson correlation, Wilcoxon signed-rank, Randomization test",Stimulus onset via serial port timestamp,"Speech, Music and Mind Workshop at Interspeech 2019"
MAD-EEG: an EEG dataset for decoding auditory attention to a target instrument in polyphonic music,"Giorgia Cantisani, Gabriel Trégoat, Slim Essid, Gaël Richard",2019,https://hal.telecom-paris.fr/hal-02291882v1,https://zenodo.org/records/4537751#.YS5MOI4zYuU,"This is an open-access EEG dataset designed to decode auditory attention to a target instrument within polyphonic music, using realistic stimuli and single-trial recordings from subjects instructed to selectively attend to specific instruments in duets and trios.",Controlled,Complete Musical Piece,"Classical music duets (Flute, Oboe, French Horn, Bassoon, Cello)",Multiple classical excerpts,NA,6 seconds (looped 4x),"Attention, Spectrogram correlation, Instrument tracking, Spatial rendering",Attend to one target instrument in 2-instrument classical mixes,8,"Adults, 7 male 1 female, ages 23–54, mostly right-handed",Minimal Training (<5 years),B-Alert X24 (Advanced Brain Monitoring),"20 channels, 10–20 system",EEG decoding correlated with musical line complexity and instrument prominence in classical duets,256 Hz,"Audio-visual lab, stereo speaker setup at ±45°",Digital EEG traces + synchronized stimuli,"Visual inspection, ICA, 50 Hz notch, time-aligned audio triggers","© Speech, Music and Mind Workshop 2019","Stimulus reconstruction via linear regression, Spectrogram alignment","Pearson correlation, Wilcoxon signed-rank, Randomization test",Stimulus onset via serial port timestamp,"Speech, Music and Mind Workshop at Interspeech 2019"
MAD-EEG: an EEG dataset for decoding auditory attention to a target instrument in polyphonic music,"Giorgia Cantisani, Gabriel Trégoat, Slim Essid, Gaël Richard",2019,https://hal.telecom-paris.fr/hal-02291882v1,https://zenodo.org/records/4537751#.YS5MOI4zYuU,"This is an open-access EEG dataset designed to decode auditory attention to a target instrument within polyphonic music, using realistic stimuli and single-trial recordings from subjects instructed to selectively attend to specific instruments in duets and trios.",Controlled,Complete Musical Piece,"Classical music trios (Flute, Oboe, French Horn, Bassoon, Cello)",Multiple classical excerpts,NA,6 seconds (looped 4x),"Attention, Spectrogram correlation, Instrument tracking, Spatial rendering",Attend to one target instrument in 3-instrument classical mixes,8,"Adults, 7 male 1 female, ages 23–54, mostly right-handed",Minimal Training (<5 years),B-Alert X24 (Advanced Brain Monitoring),"20 channels, 10–20 system","Findings support feasibility of attention tracking in realistic classical trios, but accuracy drops with complexity",256 Hz,"Audio-visual lab, stereo speaker setup at ±45°",Digital EEG traces + synchronized stimuli,"Visual inspection, ICA, 50 Hz notch, time-aligned audio triggers","© Speech, Music and Mind Workshop 2019","Stimulus reconstruction via linear regression, Spectrogram alignment","Pearson correlation, Wilcoxon signed-rank, Randomization test",Stimulus onset via serial port timestamp,"Speech, Music and Mind Workshop at Interspeech 2019"
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,La Gazza Ladra: Overture,Gioachino Rossini,La Gazza Ladra: Overture,1 minute,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed: 10 participants with >1 year musical training,"BrainAmp DC (Exp1), BioSemi ActiveTwo (Exp2/3)",60/64 channels,ISC decreased most sharply with repetition for familiar music (Rossini excerpt).,"1000 Hz (Exp1), 512 Hz (Exp2/3)",Sound-treated laboratory room,Digital EEG traces (filtered and downsampled),"Robust PCA, Filtering, EOG regression, Artifact rejection",Creative Commons Attribution 4.0,"Correlated Component Analysis (ISC), Spectral Flux Computation","Repeated-Measures ANOVA, t-tests, Permutation tests",Onset and Offset Triggers with StimTracker,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"A Faust Symphony, 3. Mephistopheles",Franz Liszt,"A Faust Symphony, Mephistopheles",1 minute 33 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,"BrainAmp DC (Exp1), BioSemi ActiveTwo (Exp2/3)",60/64 channels,ISC decreased across repetitions for familiar Liszt excerpt.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Robust PCA, Filtering, Artifact rejection",Creative Commons Attribution 4.0,Correlated Component Analysis (ISC),"Repeated-Measures ANOVA, t-tests, Permutation",Onset and Offset triggers,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"String Quartet No. 3 in D Major, Op. 44 No. 1, I. Molto allegro vivace",Felix Mendelssohn,"String Quartet No. 3 in D Major, Op. 44 No. 1, I.",1 minute 46 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC decreased over repeats for familiar Mendelssohn excerpt.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Robust PCA, Artifact Rejection, Filtering",Creative Commons Attribution 4.0,ISC via CCA,"Repeated-Measures ANOVA, t-tests, Permutation",Time-lock to music onset,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Five Orchestral Pieces, Op. 16 I. Vorgefühle",Arnold Schoenberg,Five Orchestral Pieces Op. 16 I. Vorgefühle,1 minute,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC sustained across repeats for unfamiliar Schoenberg excerpt.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Robust PCA, Artifact Removal",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Time-locked triggers,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Contrapunctus IX from The Art of Fugue, BWV 1080",Johann Sebastian Bach,Contrapunctus IX from The Art of Fugue,1 minute 5 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC remained high across repetitions for Bach fugue.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Robust PCA, Artifact rejection",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Time-locked to music onset,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,Adagio from Concerto for Oboe and Strings in D Minor,Alessandro Marcello,Adagio from Oboe Concerto in D Minor,1 minute,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC decreased moderately over repetitions for familiar Marcello excerpt.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Robust PCA, Filtering, Artifact correction",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Event markers music onset,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Toccata in D Minor, BWV 565",Johann Sebastian Bach,Toccata in D Minor BWV 565,59 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC strong initially but declined slightly across repeats for Bach Toccata.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Artifact correction, Robust PCA",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Stimulus onset aligned,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,Sinfonia from Cantata No. 29,Johann Sebastian Bach,Sinfonia from Cantata No. 29,1 minute,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,ISC sustained across repeats for Sinfonia excerpt.,1000/512 Hz,Sound-treated lab room,Digital EEG,"Filtering, Artifact rejection, ICA",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Time markers per repetition,Scientific Reports 9:3576
"Music synchronizes brainwaves across listeners with strong effects of repetition, familiarity, and training","Jens Madsen, Elizabeth Hellmuth Margulis, Rhimmon Simchy-Gross, Lucas C. Parra",2019,https://doi.org/10.1038/s41598-019-40254-w,Available upon request,"This study measured inter-subject correlation (ISC) of EEG responses to repeated listening of classical instrumental music, investigating effects of repetition, familiarity, and musical training on neural synchrony.",Controlled,Musical Excerpt,"Violin Partita No. 2 in D Minor, BWV 1004: Chaconne",Johann Sebastian Bach,Chaconne from Partita No. 2,1 minute 15 seconds,"Familiarity, ISC slope, Repetition effects",EEG-monitored passive listening; repeated exposure; attention/distract manipulation,20,"University students, ages 18–34, mixed gender",Mixed,BrainAmp DC / BioSemi ActiveTwo,60/64 channels,"ISC steady across repeats, high synchrony for Bach Chaconne.",1000/512 Hz,Sound-treated lab room,Digital EEG,"Filtering, EOG regression, Artifact removal",Creative Commons Attribution 4.0,Correlated Component Analysis,Repeated-Measures ANOVA,Stimulus onset triggers,Scientific Reports 9:3576
